id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
1043760,09015611161000163001000000M6,CARLOS LINDBERGH,NA,611161,Escuelas de educación media superior del sector privado,6 a 10 personas,CALLE,LONDRES,CALLE,NAPOLES,CALLE,HAVRE,CALLE,LIVERPOOL,54,NA,NA,NA,0,NA,COLONIA,JUAREZ,NA,NA,NA,06600,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,0841,006,5555148112,ICL08@HOTMAIL.COM,WWW.INSTITUTOCARLOSLINBERGCV.COM,Fijo,19.4269157,-99.16066634,2010-07
8613062,09007611162000292000000000U8,CAED BACHILLERATO ABIERTO PARA PERSONAS CON DISCAPACIDAD,NA,611162,Escuelas de educación media superior del sector público,6 a 10 personas,CALLE,CUITLAHUAC,AVENIDA,TLAHUAC,CALLE,AXAYACATL,CALLE,MOCTEZUMA,50,NA,NA,NA,NA,NA,COLONIA,LOS REYES CULHUACAN,NA,NA,NA,09840,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,1388,012,NA,NA,NA,Fijo,19.34517911,-99.10509135000001,2019-11
8561436,09004611161000071000000000U5,C1,CENTRO DE ESTUDIOS UNIVERSITARIOS NUEVA OPCION SC,611161,Escuelas de educación media superior del sector privado,0 a 5 personas,AVENIDA,BOSQUE DE REFORMA,OTRO (ESPECIFIQUE),NINGUNO,AVENIDA,STIM,OTRO (ESPECIFIQUE),NINGUNO,1365,NA,NA,NA,NA,NA,COLONIA,BOSQUES DE REFORMA,NA,NA,NA,05129,09,Ciudad de México,004,Cuajimalpa de Morelos,0001,Cuajimalpa de Morelos,0176,010,NA,NUEVAOPCION.DF@GMAIL.COM,NA,Fijo,19.38908404,-99.26222948,2019-11
861613,09012611161000073001000000U4,CADE PREPA ABIERTA,CADE,611161,Escuelas de educación media superior del sector privado,0 a 5 personas,EJE VIAL,2 ORIENTE (AVENIDA CANAL DE MIRAMONTES),CALLE,SAN REMO,CALLE,MONZA,CALLE,CARRARA,3193,NA,NA,NA,NA,NA,COLONIA,RESIDENCIAL ACOXPA,NA,NA,NA,14300,09,Ciudad de México,012,Tlalpan,0001,Tlalpan,0248,008,5556848725,NA,NA,Fijo,19.29957081,-99.12511609999999,2010-07
631670,09015611311000434001000000U2,COLEGIO ISAC OCHOTERENA,COLEGIO ISAC OCHOTERENA SC,611161,Escuelas de educación media superior del sector privado,31 a 50 personas,CALLE,LUCERNA,CALLE,ABRAHAM GONZALEZ,CALLE,VERSALLES,CALLE,GENERAL PRIM,29,Y 35,NA,NA,NA,NA,COLONIA,JUAREZ,NA,NA,NA,06600,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,0856,002,5555116841,BRACA33@HOTMAIL.COM,NA,Fijo,19.42942166,-99.15454405,2010-07
7982907,09016611161000153000000000S5,ESCUELA HISPANO INGLES DE MEXICO,ESCUELA HISPANO INGLES DE MEXICO AC,611161,Escuelas de educación media superior del sector privado,11 a 30 personas,CALLE,GOBERNADOR JOAQUIN A. PEREZ,CALLE,GOBERNADOR GENERAL JOSE MORAN,CALLE,GOBERNADOR AGUSTIN VICENTE EGUIA,CIRCUITO,INTERIOR (JOSÉ VASCONCELOS),13,NA,NA,NA,NA,12,COLONIA,SAN MIGUEL CHAPULTEPEC,NA,NA,NA,11850,09,Ciudad de México,016,Miguel Hidalgo,0001,Miguel Hidalgo,1160,011,NA,IHINSTITUTO@YAHOO.COM.MX,WWW.IHI.EDU.MX,Fijo,19.40860037,-99.18532534,2019-11
6308252,09005611161000204000002065S9,ESCUELA GUADALUPE INSURGENTES PREPARATORIA,INSTITUTO GUADALUPE INSURGENTES AC,611161,Escuelas de educación media superior del sector privado,11 a 30 personas,CALLE,INGENIERO ANTONIO NARRO ACUÑA,CALLE,INGENIERO ROBERTO GAYOL,CALLE,REAL DEL MONTE,EJE VIAL,3 NORTE  INGENIERO ALFREDO ROBLES DOMINGUEZ,142,NA,NA,NA,0,NA,COLONIA,GUADALUPE INSURGENTES,NA,NA,NA,07870,09,Ciudad de México,005,Gustavo A. Madero,0001,Gustavo A. Madero,1561,015,NA,IGIPASIONISTA@YAHOO.COM.MX,NA,Fijo,19.47145719,-99.13201782000002,2010-07
955392,09011611161000023000000000M1,ESCUELA DR JUAN PALOMO MARTNEZ,ESCUELA DR JUAN PALOMO MARTINEZ SC,611161,Escuelas de educación media superior del sector privado,11 a 30 personas,AVENIDA,TLAHUAC,CALLE,FELIPE LARIOS,CALLE,ENRIQUE LOMBARDO,CALLE,ALFREDO CARRASCO,NA,SN,NA,NA,NA,NA,COLONIA,SANTA CECILIA,NA,NA,NA,13010,09,Ciudad de México,011,Tláhuac,0001,Tláhuac,0359,029,5558421642,NA,NA,Fijo,19.28076148,-99.00894248,2010-07
1040761,09013611171000073010000000U1,COLEGIO LEONARDO DA VINCI,COLEGIO JBL DA VINCI,611161,Escuelas de educación media superior del sector privado,31 a 50 personas,CERRADA,SEGUNDA VICENTE GUERRERO,CERRADA,PRIMERA VICENTE GUERRERO,CERRADA,PRIMERA VICENTE GUERRERO,CALLE,ESCUDO NACIONAL,12,NA,NA,NA,NA,NA,COLONIA,NATIVITAS,NA,NA,NA,16797,09,Ciudad de México,013,Xochimilco,0001,Xochimilco,0565,012,NA,CONTROLESCOLAR@COLEGIOLEONARDODAVINCI.EDU.MX,NA,Fijo,19.25043371,-99.01062467,2010-07
6258171,09012611161000083000004045S3,COLEGIO LA SALLE DE SEGLARES,COLEGIO LA SALLE DE SEGLARES SC,611161,Escuelas de educación media superior del sector privado,101 a 250 personas,AVENIDA,TRANSMISIONES,AVENIDA,CANAL DE MIRAMONTES,CALLE,HUIZACHES,CALLE,RANCHO LOS COLORINES,51,NA,NA,NA,0,NA,COLONIA,EXHACIENDA DE SAN JUAN,NA,NA,NA,14370,09,Ciudad de México,012,Tlalpan,0001,Tlalpan,0553,004,NA,ADMINISTRACION@PREPARATORIALASALLE.EDU.MX,WWW.COLEGIOLASALLE.EDU.MX,Fijo,19.2878476,-99.13982904,2010-07
